,content,essay_label_id,Daily_life,Health_and_lifestyle,Selfawareness_and_Improvement,Language_Learning,Career_planning,Communication,Literature,Art,Sports,Traditional_custom,Hot_topic,History_Politics_Culture,Social_Progress_and_Human_Civilization,Technology_and_Invention,National_Geography,Natural_Environment_and_Heritage_Protection,Human_Environment_Animals_Plants,Human_Society_and_Environment,Cultural_heritage
0,"   Run through the rain      She had been shopping with her Mom in Wal-Mart. She must have been 6 years old, this beautiful brown haired,   freckle-faced   ①  image of innocence. It was pouring outside.    The kind of rain that gushes   ②    over the top of rain gutters   ③    , so much in a hurry to hit the Earth, it has no time to flow down the spout   ④    .  We all stood there under the    awning   ⑤  and just inside the door of the Wal-Mart.    We all waited, some patiently, others irritated   ⑥    , because nature messed up their hurried day.  I am always mesmerized   ⑦  by rainfall. I get lost in the sound and sight of the heavens washing away the dirt and dust of the world. Memories of running, splashing so carefree as a child come pouring in as a welcome reprieve   ⑧  from the worries of my day.    Her voice was so sweet as it broke the hypnotic trance   ⑨    we were all caught in  , “Mom, let's run through the rain."" she said.  What? Mom asked.  Let's run through the rain! She repeated.  No, honey. We'll wait until it slows down a bit. Mom replied.  This young child waited about another minute and repeated: ""Mom, let's run through the rain.""  We'll get soaked if we do. Mom said.  No, we won't, Mom. That's not what you said this morning, the young girl said as she tugged at her Mom's arm.""  This morning? When did I say we could run through the rain and not get wet?  Don't you remember? When you were talking to Daddy about his cancer, you said, If God can get us through this, he can get us through anything!    The entire crowd stopped dead silent.  I swear you couldn't hear anything but the rain. We all stood silently. No one came or left in the next few minutes. Mom paused and thought for a moment about what she would say.  Now some would laugh it off and scold her for being silly. Some might even ignore what was said. But this was a moment of affirmation   ⑩  in a young child's life.    Time when innocent trust can be nurtured so that it will bloom    ⑪    into faith.  ""Honey, you are absolutely right. Let's run through the rain. If get wet, well maybe we just needed washing."" Mom said. Then off they ran.    We all stood watching, smiling and laughing as they darted past the cars.  They held their shopping bags over their heads just in case. They got soaked. But they were followed by a few who screamed and laughed like children all the way to their cars. And yes, I did. I ran. I got wet. I needed washing.Circumstances or people can take away your material possessions, they can take away your money, and they can take away your health. But no one can ever take away your precious memories. So, don't forget to make time and take the opportunities to make memories every day!    To everything there is a season and a time to every purpose under heaven. I hope you still take the time to run through the rain.","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"  Industry significance       The significant inscription    ①   found on an old key ""If I rest, I rust    ②   "" would be an excellent motto for those who are afflicted    ③   with the slightest taint    ④   of idleness.  Even the most industrious might adopt it with advantage to serve as a reminder that, if one allows his faculties   ⑤  to rest, like the iron in the unused key, they will soon show signs of rust and, ultimately, cannot do the work required of them.   Those who would attain the heights reached and kept by great men must keep their faculties polished by constant use, so that they may unlock the doors of knowledge, the gate that guard the entrances to the professions, to science, art, literature, agriculture --- every department of human endeavor.  Industry keeps bright the key that opens the treasury of achievement. If Hugh Miller, after toiling   ⑥  all day in a quarry   ⑦  , had devoted his evenings to rest and recreation, he would never have become a famous geologist. The celebrated mathematician, Edmund Stone, would never have published a mathematical dictionary, never have found the key to science of mathematics, if he had given his spare moments to idleness.   Had the little Scotch lad, Ferguson, allowed the busy brain to go to sleep while he tended sheep on the hillside instead of calculating the position of the stars by a string of beads, he would never have become a famous astronomer   .  Labor vanquishes all --- not inconstant, spasmodic, or ill-directed labor, but faithful, unremitting   ⑧  , daily effort toward a well-directed purpose. Just as truly as eternal vigilance   ⑨  is the price of liberty, so is eternal industry the price of noble and enduring success.","['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,"   Don't Look Back       As you travel through life there are always those times when decisions just have to be made when the choices are hard, and solutions seem scarce    ①   and the rain seems to soak    ②   your parade!  There are some situations where all you can do is to simply let go and move on, gather courage together and choose a direction that carries you toward a new dawn.  So pack up your troubles and take a step forward...The process of change can be tough, but think about all the excitement ahead if you can be stalwart   ③  enough!  There could be adventures you never imagined just waiting around the next bend and wishes and dreams just about to come true in ways you can’t yet comprehend   ④  !   Perhaps you’ll find friendships that spring from new interests as you challenge your status and learn there are so many options in life, and so many ways you can grow!  Perhaps you’ll go to places you’ve never expected and see things that you’ve never seen or travel to fabulous   ⑤  , faraway worlds and wonderful spots in between!  Perhaps you’ll find warmth and affection and caring —a “somebody special” who’s there to help you stay centered and listen with interest to stories and feelings you share.   Perhaps you'll find comfort in knowing your friends are supportive of all that you do and believe that whatever decisions you make, they’ll be the right choices for you!  So keep putting one foot in front of the other and taking your life day by day. There’s a brighter tomorrow that’s just down the road. Don’t look back — you’re not going that way!","['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"   Develop Your Own Helping Rituals      If you want your life to stand for peace and kindness, it’s helpful to do kind, peaceful things. One of my favorite ways to do this is by developing my own helping rituals   ①  .   These little acts of kindness are opportunities to be of service and reminders of how good it feels to be kind and helpful.  We live in a rural area of the San Francisco Bay Area. Most of what we see is beauty and nature.   One of the exceptions to the beauty is the litter that some people throw out of their windows as they are driving on the rural roads.  One of the few drawbacks   ②  to living out the boondocks   ③  is that public services, such as litter collection, are less available than they are closer to the city.  A helping ritual that I practice regularly with my two children is picking up litter in our surrounding area.   We’ve become so accustomed   ④   to doing this that my daughters will often say to me in animated   ⑤   voices, “There’s some litter, Daddy, stop the car!”  And if we have time, we will often pull over and pick it up. It may seem strange, but we actually enjoy it. We pick up litter in parks, on sidewalks, practically anywhere. Once I even saw a complete stranger picking up litter close to where we live. He smiled at me and said, “I saw you doing it, and it seemed like a good idea.”  Picking up litter is only one of an endless supply of possible helping rituals. You might like holding a door open for people, visiting lonely elderly people in nursing homes, or shoveling   ⑥  snow off someone else’s driveway. Think of something that seems effortless yet helpful. It’s fun, personally rewarding, and sets a good example. Everyone wins.","['1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0']",1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
4,"   Discovery in a Thunderstorm       Dr. Nelson Glueck,  Many years ago I was on a bicycle trip through some exceedingly   ①  picturesque  countryside. Suddenly, dark clouds piled up   ②  overhead and rain began to fall, but strange to relate, several hundred yards ahead of me the sun shone brilliantly. Pedaling, however, as rapidly as I could, I found it impossible to get into the clear. The clouds with their rain kept advancing faster than I could race forward. I continued this unequal contest for an exhausting half hour, before realizing that I could not win my way to the bright area ahead of me  .   Then it dawned upon me that I was wasting my strength in unimportant hurry, while paying no attention whatsoever to the landscape for the sake of which I was making the trip   .  The storm could not last forever and the discomfort  was not unendurable   ③  . Indeed, there was much to look at which might otherwise have escaped me. As I gazed about with sharpened appreciation, I saw colors and lines and contours   ④  that would have appeared differently under brilliant light. The rain mists which now crowned the wooded hills and the fresh clearness of the different greens were entrancing. My annoyance at the rain was gone and my eagerness to escape it vanished   ⑤  .   It had provided me with a new view and helped me understand that the sources of beauty and satisfaction may be found close at hand within the range of one’s own sensibilities   .  It made me think, then and later, about other matters to which this incident was related.   It helped me realize that there is no sense in my attempting ever to flee from circumstances and conditions which cannot be avoided but which I might bravely meet and frequently mend and often turn to good account.  I know that half the battle is won if I can face trouble with courage, disappointment with spirit, and triumph   ⑥  with humility. It has become ever clearer to me that danger is far from disaster, that defeat may be the forerunner of final victory, and that, in the last analysis, all achievement is perilously   ⑦  fragile unless based on enduring principles of moral conduct   。   I have learned that trying to find a carefree world somewhere far off involves me in an endless chase in the course of which the opportunity for happiness and the happiness of attainment are all too I often lost in the chase itself.  It has become apparent to me that I cannot wipe out the pains of existence by denying them, blaming them largely or completely on others, or running away from them  .  The elements of weakness which mark every person cannot absolve   ⑧  me from the burdens and blessings of responsibility for myself and to others. I can magnify but never lessen my problems by ignoring, evading or exorcising them. I believe that my perplexities and difficulties can be considerably resolved, if not completely overcome, by my own attitudes and actions.   I am convinced that there can be no guarantee of my happiness except that I help evoke and enhance it by the work of my hands and the dictates of my heart and the direction of my striving.  I believe that deep faith in God is necessary to keep me and hold mankind uncowed and confident under the vagaries   ⑨  and ordeals of mortal experience, and particularly so in this period of revolutionary storm and travail. If my values receive their sanction and strength from relationship to divine law and acceptance of its ethical imperatives, then nothing can really harm me. “The Lord is my shepherd; I shall not want   .  ”","['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,"   Relish the Moment      Tucked away in our subconscious is an  idyllic   ①  vision. We see ourselves on a long trip that spans the continent. We are traveling by train. Out the windows, we drink in the passing scene of cars on nearby highways, of children waving at a crossing, of cattle  grazing   ②  on a distant hillside, of smoke pouring from a power plant, of row upon row of corn and wheat, of flatlands and valleys, of mountains and rolling hillsides, of city skylines and village halls.  But uppermost in our minds is the final destination. On a certain day at a certain hour, we will pull into the station. Bands will be playing and flags waving. Once we get there, so many wonderful dreams will come true and the pieces of our lives will fit together like a completed  jigsaw   ③  puzzle. How restlessly we pace the  aisles   ④  , damning the minutes for loitering—waiting, waiting, waiting for the station.  “When we reach the station, that will be it!” we cry. “When I’m 18.” “When I buy a new 450SL Mercedes Benz!” “When I put the last kid through college.” “When I have paid off the mortgage!” “When I get a promotion.” “When I reach the age of retirement, I shall live happily ever after!”  Sooner or later, we must realize there is no station, no one place to arrive at once and for all. The true joy of life is the trip. The station is only a dream. It constantly outdistances us.  It isn’t the burdens of today that drive men mad. It is the regrets over yesterday and the fear of tomorrow. Regret and fear are twin thieves who  rob us of   ⑤  today.  So stop pacing the aisles and counting the miles. In stead, climb more mountains, eat more ice cream, go barefoot more often, swim more rivers, watch more sunsets, laugh more, cry less. Life must be lived as we go along. The station will come soon enough.","['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,"   Keep on Singing       Like any good mother, when Karen found out that another baby was on the way, she did what she could to help her three-year-old son, Michael, prepare for a new   sibling    ①  . They find out that the new baby is going to be a girl, and day after day, night after night, Michael sings to his sister in Mommy’s tummy.  The pregnancy progresses normally for Karen. Then the labor pains come. Every five minutes... every minute. But Complications arise during delivery. Hours of labor. Would a C-section be required? Finally, Michael’s little sister is born. But she is in serious condition.   With   siren   howl   ing    ②   in the night, the ambulance rushes the   infant   to the   neonatal    ③   intensive care unit at St. Mary’s Hospital in Knoxville, Tennessee.  The days inch by. The little girl gets worse. The  pediatric   ④  specialist tells the parents, “There is very little hope. Be prepared for the worst.” Karen and her husband contact a local  cemetery   ⑤  about a burial plot. They have fixed up a special room in their home for the new baby—now they plan a funeral.  Michael, keeps begging his parents to let him see his sister, “I want to sing to her,”he says. Week two in intensive care. It looks as if a funeral will come before the week is over. Michael keeps  nag  ging   ⑥  about singing to his sister, but kids are never allowed in Intensive Care. But Karen makes up her mind. She will take Michael whether they like it or not.  If he doesn’t see his sister now, he may never see her alive. She dresses him in an oversized scrub suit and marches him into ICU. He looks like a walking laundry basket, but the head nurse recognizes him as a child and  bellows   ⑦  , “Get that kid out of here now! No children are allowed.”   The mother rises up strong in Karen, and the usually mild-mannered lady glares steel-eyed into the head nurse’s face, her lips a firm line. “He is not leaving until he sings to his sister!”  Karen tows Michael to his sister’s bedside. He gazes at the tiny infant losing the battle to live. And he begins to sing. In the pure hearted voice of a 3-year-old, Michael sings:  “You are my sunshine, my only sunshine, you make me happy when skies are gray — ”  Instantly the baby girl responds. The  pulse   ⑧  rate becomes calm and steady.  Keep on singing, Michael. “You never know, dear, how much I love you. Please don’t take my sunshine away—” The  rag  ged   ⑨  , strained breathing becomes as smooth as a kitten’s  purr   ⑩  .  Keep on singing, Michael. “The other night, dear, as I lay sleeping, I dreamed I held you in my arms...” Michael’s little sister relaxes as rest, healing rest, seems to sweep over her.  Keep on singing, Michael. Tears conquer the face of the bossy head nurse. Karen glows. “You are my sunshine, my only sunshine. Please don’t, take my sunshine away.”  Funeral plans are  scrap  ped. The next, day—the very next day—the little girl is well enough to go home!  The medical staff just called it a miracle. Karen called it a miracle of God’s love!  NEVER GIVE UP ON THE PEOPLE YOU LOVE. LOVE IS SO INCREDIBLY POWERFUL.","['1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,"   On Motes and Beams      It is curious that our own offenses should seem so much less  heinous   ①  than the offenses of others.   I suppose the reason is that we know all the circumstances that have occasioned them and so manage to excuse in ourselves what we cannot excuse in others.  We turn our attention away from our own defects, and when we are forced by untoward events to consider them, find it easy to  condone   ②  them. For all I know we are right to do this; they are part of us and we must accept the good and bad in ourselves together.   But when we come to judge others, it is not by ourselves as we really are that we judge them, but by an image that we have formed of ourselves for which we have left out everything that offends our   vanity   ③   or would discredit us in the eyes of the world.  To take a  trivial   ④  instance: how  scornful   ⑤  we are when we catch someone out telling a lie; but who can say that he has never told not one, but a hundred?  There is not much to choose between men. They are all a  hotchpotch   ⑥  of greatness and littleness, of virtue and vice, of nobility and baseness. Some have more strength of character, or more opportunity, and so in one direction or another give their instincts freer play, but potentially they are the same.   For my part, I do not think I am any better or any worse than most people, but I know that if I set down every action in my life and every thought that has crossed my mind, the world would consider me a monster of depravity.  The knowledge that these reveries are common to all men should inspire one with tolerance to oneself as well as to others. It is well also if they enable us to look upon our fellows, even the most eminent   ⑦  and respectable, with humor, and if they lead us to take ourselves not too seriously.","['0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"   Mother &amp; Child      It was Christmas 1961.   I was teaching in a small town in Ohio where my twenty-seven third graders eagerly anticipated    ①   the great day of gifts giving.  A tree covered with tinsel and gaudy   ②  paper chains graced one corner. In another rested a manger scene produced from cardboard and poster paints by chubby, and sometimes grubby, hands. Someone had brought a doll and placed it on the straw in the cardboard box that served as the manger. It didn’t matter that you could pull a string and hear the blue-eyed, golden-haired dolly say, “My name is Susie.” “But Jesus was a boy baby!” one of the boys proclaimed.   ③  Nonetheless, Susie stayed.  Each day the children produced some new wonder—strings of popcorn, hand-made trinkets, and German bells made from wallpaper samples, which we hung from the ceiling. Through it all she remained aloof   ④  , watching from afar, seemingly miles away. I wondered what would happen to this quiet child, once so happy, now so suddenly withdrawn. I hoped the festivities would appeal to her. But nothing did. We made cards and gifts for mothers and dads, for sisters and brothers, for grandparents, and for each other. At home the students made the popular fried marbles and vied   ⑤  with one another to bring in the prettiest ones. “You put them in a hot frying pan, Teacher. And you let them get real hot, and then you watch what happens inside. But you don’t fry them too long or they break.”So, as my gift to them, I made each of my students a little pouch for carrying their fried marbles. And I knew they had each made something for me: bookmarks carefully cut, colored, and sometimes pasted together; cards and special drawings; liquid embroidery   ⑥  doilies, hand-fringed, of course.  The day of gift-giving finally came. We oohed and aahed over our handiwork as the presents were exchanged. Through it all, she sat quietly watching. I had made a special pouch for her, red and green with white lace. I wanted very much to see her smile. She opened the package so slowly and carefully. I waited but she turned away. I had not penetrated the wall of isolation she had built around herself.  After school the children left in little groups, chattering about the great day yet to come when long-hoped-for two-wheelers and bright sleds would appear beside their trees at home. She lingered   ⑦  , watching them bundle up and go out the door.   I sat down in a child-sized chair to catch my breath, hardly aware of what was happening, when she came to me with outstretched hands, bearing a small white box, unwrapped and slightly soiled, as though it had been held many times by unwashed, childish hands.  She said nothing. “For me?” I asked with a weak smile. She said not a word, but nodded her head. I took the box and gingerly opened it. There inside, glistening green, a fried marble hung from a golden chain. Then I looked into that elderly eight-year-old face and saw the question in her dark brown eyes.   In a flash I knew—she had made it for her mother, a mother she would never see again, a mother who would never hold her or brush her hair or share a funny story, a mother who would never again hear her childish joys or sorrows.  A mother who had taken her own life just three weeks before.  I held out the chain. She took it in both her hands, reached forward, and secured the simple clasp   ⑧  at the back of my neck. She stepped back then as if to see that all was well. I looked down at the shiny piece of glass and the tarnished golden chain, then back at the giver. I meant it when I whispered, “Oh, Maria, it is so beautiful. She would have loved it.”Neither of us could stop the tears. She stumbled into my arms and we wept together. And for that brief moment I became her mother, for she had given me the greatest gift of all: herself.","['1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9,"   Love and Time      Once upon a time, there was an island where all the feelings lived: Happiness, Sadness, Knowledge, and all of the others, including Love.   One day it was   announce   d    ①   to the feelings that the island would sink, so all constructed    ②   boats and left.  Except for Love.  Love was the only one who stayed. Love wanted to hold out   ③  until the last possible moment.  When the island had almost sunk, Love decided to ask for help.  Richness was passing by Love in a grand boat. Love said,  “Richness,can you take me with you?”  Richness answered,“No, I can’t. There is a lot of gold and silver in my boat. There is no place here for you.”  Love decided to ask Vanity who was also passing by in a beautiful vessel   ④  .“Vanity, please help me!”  “I can’t help you, Love. You are all wet and might damage my boat,”Vanity answered.  Sadness was close by so Love asked,“Sadness   ，   let me go with you.”  “Oh . . . Love,I am so sad that I need to be by myself!”   Happiness passed by Love,too,but she was so happy that she did not even hear when Love called her.  Suddenly,there was a voice,“Come,Love,I will take you.”It was an elder.   So blessed    ⑤   and overjoyed, Love even forgot to ask the elder where they were going.  When they arrived at dry land, the elder went her own way. Realizing how much was owed the elder, Love asked Knowledge,another elder,“Who Helped me?”  “It was Time,”Knowledge answered.  “Time?”asked Love.“But why did Time help me?”  Knowledge smiled with deep wisdom and answered, “Because only Time  is capable of   ⑥  understanding how valuable Love is.”","['0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
